CatfbrgnN20140520S0220.fits  17.00  42.55 9.42 11.75
CatfbrgnN20140520S0222.fits  35.90  18.94 7.82 11.19
CatfbrgnN20140520S0223.fits  15.96  36.19 7.92 11.39
CatfbrgnN20140520S0225.fits  37.00  14.93 9.10 11.31
CatfbrgnN20140520S0239.fits  19.06  39.22 9.04 12.05
CatfbrgnN20140520S0241.fits  38.84  18.41 9.33 11.83
CatfbrgnN20150131S0401.fits  17.07  39.13 10.2 14.3
CatfbrgnN20150201S0164.fits  36.57  19.82 9.77 11.72
CatfbrgnN20150201S0165.fits  15.92  43.28 11.7 12.3
CatfbrgnN20150201S0167.fits  37.29  26.42 11.8 12.7
CatfbrgnN20150502S0131.fits  19.66  39.45 10.2 11.1
CatfbrgnN20150502S0133.fits  37.22  17.00 9.93 10.97  
CatfbrgnN20150502S0137.fits  12.73  33.65 9.95 13.36
CatfbrgnN20150503S0043.fits  35.96  19.14 7.69 12.16
CatfbrgnN20150503S0046.fits  15.19  43.75 9.30 9.33
CatfbrgnN20150503S0047.fits  37.38  24.78 8.97 11.63
CatfbrgnN20150503S0049.fits  16.17  46.76 7.94 9.37



çFilename             FWHM  Peak
N20140520S0220.fits  9.42  54.7
N20140520S0222.fits  7.82  58.2
N20140520S0223.fits  7.92  57.9	
N20140520S0225.fits  9.10  59.6
N20140520S0239.fits  9.04  61.3
N20140520S0241.fits  9.33  54.3
N20150131S0401.fits  10.2  45.4
N20150201S0164.fits  9.77  42.5
N20150201S0165.fits  11.7  36.1
N20150201S0167.fits  11.8  34.1
N20150502S0131.fits  10.2  37.3
N20150502S0133.fits  9.93  47.0
N20150502S0137.fits  9.95  46.8
N20150503S0043.fits  7.69  44.9
N20150503S0046.fits  9.30  55.6
N20150503S0047.fits  8.97  57.3
N20150503S0049.fits  7.94  53.5

